random_id,participant_id,trial_type,trial_index,trial_number,time_elapsed,rt,stimulus,response,question_order,correct_key,correct,object_num,angle,correct_response,correct_response_key,age,year,major,minor,gender,about,difficulties,trial_kind
p059dy6tho6,turtle,image-keyboard-response,174,73,359225,1192,stimuli/20_0.jpg,f,NA,NA,TRUE,20,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,176,74,363156,3536,stimuli/10_100.jpg,f,NA,NA,TRUE,10,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,178,75,365795,2244,stimuli/28_0_R.jpg,j,NA,NA,TRUE,28,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,180,76,368791,2602,stimuli/1_50_R.jpg,j,NA,NA,TRUE,1,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,182,77,370788,1603,stimuli/30_50.jpg,f,NA,NA,TRUE,30,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,184,78,373844,2661,stimuli/40_100.jpg,f,NA,NA,TRUE,40,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,186,79,376780,2542,stimuli/24_100.jpg,f,NA,NA,TRUE,24,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,188,80,380749,3574,stimuli/20_150_R.jpg,f,NA,NA,FALSE,20,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,190,81,383532,1387,stimuli/19_50.jpg,f,NA,NA,TRUE,19,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,192,82,385354,1427,stimuli/34_0_R.jpg,j,NA,NA,TRUE,34,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,194,83,389410,3661,stimuli/6_50_R.jpg,j,NA,NA,TRUE,6,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,196,84,394094,4288,stimuli/8_100.jpg,f,NA,NA,TRUE,8,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,198,85,395874,1386,stimuli/18_0.jpg,f,NA,NA,TRUE,18,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,200,86,399665,3396,stimuli/45_100.jpg,f,NA,NA,TRUE,45,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
